sensor,hpsx,hpsy,hpsz,svtx,svty,svtz,ux,uy,uz,vx,vy,vz,wx,wy,wz
module_L6t_halfmodule_stereo_slot_sensor0,77.728,30.215,893.88,50.433,30.215,895.83,0.049258,0.99879,-0.0014462,-0.99838,0.049279,0.028367,0.028404,4.655e-05,0.9996
module_L6b_halfmodule_stereo_hole_sensor0,-21.879,-35.144,905.35,-49.477,-35.144,904.26,-0.049815,0.99876,-0.00047049,0.99833,0.04978,-0.029274,-0.029214,-0.001928,-0.99957
module_L6b_halfmodule_stereo_slot_sensor0,78.87,-30.136,902.35,51.316,-30.136,904.33,0.049801,-0.99876,-0.0021184,-0.99831,-0.049842,0.02992,-0.029989,0.00062471,-0.99955
module_L6t_halfmodule_axial_hole_sensor0,-23.248,32.73,889.46,-50.361,32.73,888.33,-0.00015956,1.0,-0.00053096,0.99954,0.00014343,-0.030225,-0.030225,-0.00053554,-0.99954
module_L6t_halfmodule_axial_slot_sensor0,77.486,32.715,886.45,50.417,32.715,888.4,7.3085e-05,-1.0,0.0010511,-0.99957,-4.2149e-05,0.029402,-0.029402,-0.0010528,-0.99957
ECalScoring_BeamLeft_layer1_module0_sensor0,214.1,122.8,1338.0,173.2,122.8,1343.9,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_ElectronGap_layer1_module0_sensor0,-23.382,130.47,1338.0,-64.173,130.47,1336.7,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_BeamRight_layer1_module0_sensor0,-216.31,121.3,1338.0,-257.01,121.3,1330.8,-1.0366e-13,1.0,0.0,-1.0,-1.0366e-13,0.0,0.0,0.0,1.0
ECalScoring_BeamLeft_layer2_module0_sensor0,214.1,-122.8,1338.0,173.2,-122.8,1343.9,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
ECalScoring_ElectronGap_layer2_module0_sensor0,-23.382,-130.47,1338.0,-64.173,-130.47,1336.7,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
ECalScoring_BeamRight_layer2_module0_sensor0,-216.31,-121.3,1338.0,-257.01,-121.3,1330.8,3.1092e-13,-1.0,0.0,1.0,3.1092e-13,0.0,-0.0,0.0,1.0
